Titulo,Precio,Provincia,Lugar,Num. dormitorios,Num. banos,Area,Num. garages,Lugar_original,Tipo_Precio
"Rento Bonita Suite Amoblada, Republica del Salvador",480,Pichincha,Quito,1.0,2.0,61.0,1.0,"Pichincha, Av República de El Salvador, Quito 170102, Ecuador",Medio
"Rento Local Comercial Sector Centro Norte, Granados",1500,Pichincha,Quito,4.0,3.0,150.0,0.0,"Pichincha, De los Granados, Quito, Ecuador",Lujo
"RENTO SUITE MODERNA, TOTALMENTE AMOBLADA Y EQUIPADA.. CAROLINA",690,Pichincha,Quito,1.0,2.0,60.0,1.0,"Pichincha, Av. Portugal, Quito 170102, Ecuador",Medio
"DEPARTAMENTO AMOBLADO EN RENTA TRES DORMITORIOS, REPÚBLICA DE EL SALVADOR",850,Pichincha,Quito,3.0,4.0,130.0,1.0,"Pichincha, Av República de El Salvador, Quito 170102, Ecuador",Lujo
SUITE SEMIAMOBLADA EN RENTA. QUITO TENIS $360,360,Pichincha,Hidalgo de Pinto Chaupicruz Quito Distrito Metropolitano de Quito,1.0,1.0,70.0,1.0,"Pichincha, Hidalgo de Pinto Chaupicruz Quito Distrito Metropolitano de Quito",Medio
Departamento en Arriendo Bellavista,550,Pichincha,Quito,2.0,2.0,69.0,1.0,"Pichincha, Ignacio Bossano & Avenida 6 de Diciembre, Quito 170102, Ecuador",Medio
Departamento en Venta – Arriendo Carcelén/Mastodontes,300,Pichincha,Quito,2.0,2.0,84.0,1.0,"Pichincha, Jaime Roldós Aguilera & Calle E, Quito, Ecuador",Económico
Alquiló local en la 10 de Agosto y Mariana de Jesús,850,Pichincha,10 de agosto y mariana de Jesús,3.0,2.0,140.0,1.0,"Pichincha, 10 de agosto y mariana de Jesús",Medio
RENTO OFICINA EN SECTOR CAROLINA,750,Pichincha,Quito,4.0,2.0,96.0,2.0,"Pichincha, Tamayo & Avenida 6 de Diciembre, Quito 170102, Ecuador",Lujo
ARRIENDO DEPARTAMENTO AMOBLADO,819,Pichincha,Quito,2.0,3.0,100.0,1.0,"Pichincha, Finlandia & Suecia, Quito, Ecuador",Lujo
"Rento Oficina comercial Torre Boreal, Av. 12 de Octubre y Av. Colon, sector La Floresta",400,Pichincha,N24-739 Avenue 12 De Octubre Mariscal Sucre Quito,3.0,1.0,60.0,1.0,"Pichincha, N24-739 Avenue 12 De Octubre Mariscal Sucre Quito",Medio
ALQUILO SUITE TEMPORAL EN AV REPÚBLICA DEL SALVADOR,1000,Pichincha,AV. REPÚBLICA DEL SALVADOR Y MOSCU,1.0,1.0,70.0,1.0,"Pichincha, AV. REPÚBLICA DEL SALVADOR Y MOSCU",Medio
CASA PARA OFICINAS EN RENTA,2100,Pichincha,SECTOR PLATAFORMA FINANCIERA NORTE,6.0,5.0,460.0,5.0,"Pichincha, SECTOR PLATAFORMA FINANCIERA NORTE",Medio
Casa en renta valle La ESPE,600,Pichincha,Sangolquí,2.5,1.5,90.0,1.0,"Pichincha, Sangolquí, Ecuador",Medio
Hermoso departamento excelente sector Ponceano,500,Pichincha,Ponceano,3.0,2.0,100.0,1.0,"Pichincha, Ponceano",Medio
Hermosa casa De oportunidad 3 dormitorios excelente sector Ponceano Alto,480,Pichincha,Quito,3.0,3.0,150.0,1.0,"Pichincha, Ponceano Alto, Quito, Ecuador",Medio
Hermosa casa excelente sector colegio SEK quito,600,Pichincha,Quito,4.0,3.0,200.0,2.0,"Pichincha, De los Guayacanes N51, Quito 170124, Ecuador",Medio
Hm/ Sector La Pradera Usd 520 Se Arrienda Hermosa Suite Amoblada de 46 m².,520,Pichincha,Diego de Almagro La Pradera Quito Distrito Metropolitano de Quito,1.0,1.0,46.0,1.0,"Pichincha, Diego de Almagro La Pradera Quito Distrito Metropolitano de Quito",Medio
Hm/amazonas en Renta 100 m² – Mariscal Sucre Usd 850,850,Pichincha,Quito,2.0,2.0,100.0,0.0,"Pichincha, Av. Gral. Ignacio de Veintimilla & Av. Amazonas, Quito 170143, Ecuador",Lujo
Hermoso departamento 2 Dormitorios excelente sector CCI,500,Pichincha,Quito,2.0,2.0,100.0,1.0,"Pichincha, Centro Comercial Iñaquito (CCI), Quito, Ecuador",Medio
ARRIENDO CAROLINA 3 DORMITORIOS 105 M2 $600,600,Pichincha,Quito,3.0,2.0,105.0,1.0,"Pichincha, Av. Eloy Alfaro & Av. de los Shyris, Quito 170102, Ecuador",Medio
VENDO O ARRIENDO QUINTA EN TUMBACO ARENAL HILACRYL,1200,Pichincha,Quito,3.0,2.0,300.0,4.0,"Pichincha, Aurelio Dávila Cajas, Quito, Ecuador",Lujo
"Se alquila suite segura, cómoda y económica",165,Guayas,Guayaquil 090510,1.0,1.0,32.0,0.0,"Guayas, Urbanor, Guayaquil 090510, Ecuador",Medio
Arriendo Dep. Cumbaya,300,Pichincha,Quito,2.0,1.0,100.0,1.0,"Pichincha, Rodrigo Nuñez, Quito 170184, Ecuador",Económico
Hermoso departamento de alquiler Sector El Batan,700,Pichincha,Quito,2.0,2.5,100.0,2.0,"Pichincha, El Batán, Quito, Ecuador",Medio
"Suite de alquiler amoblada en el Batan, ideal para estudiante!",500,Pichincha,Quito,1.0,1.5,60.0,1.0,"Pichincha, El Batán, Quito, Ecuador",Medio
Hermoso departamento de alquiler en el Batan,700,Pichincha,Quito,3.0,2.5,115.0,2.0,"Pichincha, El Batán, Quito, Ecuador",Medio
Hermoso Suite Loft amoblado de alquiler sector Whimper,550,Pichincha,Quito,1.0,2.0,74.0,1.0,"Pichincha, Whymper, Quito, Ecuador",Medio
Departamento de alquiler Urbanización El Condado,680,Pichincha,Quito,3.0,3.0,210.0,2.0,"Pichincha, Urbanización El Condado, Calle C, Quito, Ecuador",Medio
De Oportunidad casa de alquiler Urbanización El Condado SIN MUEBLES,750,Pichincha,Quito,3.0,3.0,254.0,2.0,"Pichincha, Calle C, Quito 170134, Ecuador",Lujo
Alquiler suite de lujo sector El Bosque,550,Pichincha,Quito,1.0,2.0,70.0,2.0,"Pichincha, El Bosque, Quito, Ecuador",Medio
Arriendo Departamento en González Suárez,500,Pichincha,Quito,3.0,3.0,131.0,1.0,"Pichincha, Gonzalez Suarez, Quito, Ecuador",Medio
Arriendo Oficina Amoblada,500,Pichincha,Quito,3.0,1.0,60.0,2.0,"Pichincha, Quito, Ecuador",Medio
Arriendo o vendo amplia casa en San Rafael,3000,Pichincha,Quito,7.0,7.0,770.0,3.0,"Pichincha, Avenida General Enriquez & Isla San Cristobal, Quito, Ecuador",Lujo
RENTA DEPARTAMENTO PONCIANO ALTO,490,Pichincha,,3.0,2.0,180.0,1.0,"Pichincha,",Medio
Arriendo Suite Amoblada Estreno Carolina,600,Pichincha,Quito,1.0,1.0,57.0,1.0,"Pichincha, Avenida Eloy Alfaro, Quito, Ecuador",Medio
Arriendo Suite Amoblada República del Salvador,500,Pichincha,La Carolina Quito Distrito Metropolitano de Quito Pichincha,1.0,1.0,65.0,1.0,"Pichincha, La Carolina Quito Distrito Metropolitano de Quito Pichincha",Medio
Amplio departamento de alquiler Urbanización El Condado,500,Pichincha,Quito,3.0,3.0,150.0,2.0,"Pichincha, Calle C, Quito 170134, Ecuador",Medio
Departamento de arriendo Sector El Bosque,850,Pichincha,Quito,3.0,2.5,140.0,2.0,"Pichincha, El Bosque, Quito, Ecuador",Lujo
Departamento de alquiler sector La Carolina por estrenar,800,Pichincha,Quito,3.0,3.5,127.0,2.0,"Pichincha, La Carolina, Quito, Ecuador",Lujo
Casa de alquiler en Santa Lucia,550,Pichincha,Quito,4.0,3.5,160.0,1.0,"Pichincha, Santa Lucia, Quito, Ecuador",Medio
Céntrico departamento en arriendo Sector La Carolina,650,Pichincha,Quito,2.0,2.5,100.0,1.0,"Pichincha, La Carolina, Quito, Ecuador",Medio
Hermosa Casa de Lujo con piscina independiente de arriendo en Pusuqui,2500,Pichincha,Quito,4.0,5.0,700.0,5.0,"Pichincha, Pusuqui, Quito, Ecuador",Lujo
SUITE DE ALQUILER AMOBLADA SECTOR MALL DEL SOL,800,Guayas,Guayaquil 090513,1.0,1.0,80.0,1.0,"Guayas, Av de Las Américas, Guayaquil 090513, Ecuador",Medio
SUITE DE ALQUILER TOTALMENTE AMOBLADA SECTOR MALL DEL SOL,800,Guayas,Guayaquil,1.0,1.0,85.0,1.0,"Guayas, Av de Las Américas, Guayaquil, Ecuador",Lujo
Lindo departamento semi amoblado de arriendo Sector Monteserrin,800,Pichincha,Quito,3.0,4.0,138.0,2.0,"Pichincha, Monteserrin, Quito, Ecuador",Lujo
De oportunidad Galpón de arriendo Sector Pusuqui,4500,Pichincha,Quito,3.0,2.0,1000.0,3.0,"Pichincha, Pusuqui, Quito, Ecuador",Lujo
Amplia y hermosa oficina en alquiler sector Batán bajo,700,Pichincha,Quito,5.0,1.0,180.0,1.0,"Pichincha, Batan Bajo, Quito, Ecuador",Medio
De oportunidad terreno en arriendo Sector Ponceano,1500,Pichincha,Quito,3.0,2.0,100.0,1.0,"Pichincha, Ponciano Alto, Quito, Ecuador",Lujo
Amplio departamento amoblado en alquiler Sector Quito Tenis,1200,Pichincha,Quito,3.0,3.0,190.0,2.0,"Pichincha, Quito Tenis, Quito, Ecuador",Lujo
Almacén de 2 plantas en arriendo Sector Calderón,4900,Pichincha,Quito,3.0,2.0,700.0,1.0,"Pichincha, Calderón, Quito, Ecuador",Lujo
Precioso Departamento en alquiler Sector El Batán,740,Pichincha,Quito,3.0,3.0,140.0,2.0,"Pichincha, El Batán, Quito, Ecuador",Lujo
Céntrico departamento en arriendo Sector República del Salvador,780,Pichincha,Quito,3.0,2.5,183.0,2.0,"Pichincha, Naciones Unidas Y Republica del Salvador, Quito, Ecuador",Lujo
Departamento de alquiler en Sector Quito Tenis,1700,Pichincha,Quito,3.0,3.1,271.0,2.0,"Pichincha, Quito Tenis, Quito, Ecuador",Lujo
Hermoso departamento de alquiler Sector El Condado,550,Pichincha,Quito,2.0,2.5,115.0,2.0,"Pichincha, Urbanización El Condado, Calle C, Quito, Ecuador",Medio
